timestamp,ip,playerCount,data,hora,minuto,dia_da_semana,final_de_semana,var_jogadores,pct_var_jogadores,media_movel_10,media_movel_30,desvio_movel_30,total_jogadores,proporcao_rede,flag_pico,queda_abrupta,recuperacao,periodo_dia,intervalo_segundos,server_id,servidor_hora
2021-08-01 00:18:58.387,play.timolia.de,,2021-08-01,0,18,Sunday,1,,0.0,60.375,59.26923076923077,1.2184479408721625,97437.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:19:22.390,play.wynncraft.com,,2021-08-01,0,19,Sunday,1,,0.0,1348.0,1350.928571428571,2.8405603441568568,96160.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:19:40.394,play.wynncraft.com,,2021-08-01,0,19,Sunday,1,,0.0,1347.125,1349.4444444444443,2.3424729426804194,96186.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:19:46.394,play.timolia.de,,2021-08-01,0,19,Sunday,1,,0.0,60.0,59.888888888888886,0.8915558282418414,97496.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:19:49.394,play.timolia.de,,2021-08-01,0,19,Sunday,1,,0.0,60.0,60.0,0.6928203230276997,97503.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:20:37.409,play.timolia.de,,2021-08-01,0,20,Sunday,1,,0.0,58.0,58.888888888888886,1.0860419786948368,97517.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:20:40.410,play.timolia.de,,2021-08-01,0,20,Sunday,1,,0.0,58.0,58.84615384615385,1.0841515647661268,97530.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:20:43.410,play.wynncraft.com,,2021-08-01,0,20,Sunday,1,,0.0,1361.3333333333333,1355.7037037037037,6.0689297929650765,96244.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:20:46.410,play.wynncraft.com,,2021-08-01,0,20,Sunday,1,,0.0,1361.125,1356.0,5.986651818841009,96260.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:20:58.415,play.wynncraft.com,,2021-08-01,0,20,Sunday,1,,0.0,1362.7142857142858,1358.076923076923,5.691559202352577,96256.0,,0,0,0,Madrugada,3.002,6,play.wynncraft.com_0
2021-08-01 00:21:28.423,play.timolia.de,,2021-08-01,0,21,Sunday,1,,0.0,58.333333333333336,58.0,0.4803844614154978,97474.0,,0,0,0,Madrugada,3.002,5,play.timolia.de_0
2021-08-01 00:21:31.423,play.timolia.de,,2021-08-01,0,21,Sunday,1,,0.0,58.375,58.0,0.4898979485568768,97489.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:22:04.437,play.wynncraft.com,,2021-08-01,0,22,Sunday,1,,0.0,1373.5555555555557,1369.7692307692307,4.121239544685724,96157.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
